year,population,population_index,population_change,energy_cons,energy_cons_index,energy_cons_change,temp,temp_change
1965,500114346,47.19690944136,0.02260469598790522,619.4514,16.61389319027439,NULL,29.16,0.0024063251976624367
1966,510992617,48.22351620714,0.021751567590504593,638.4138,17.122471083925543,0.030611602459853997,29.41,0.008573388203017833
1967,521987069,49.261087233750004,0.021515872508193205,658.4335,17.659406116280522,0.031358501335653995,29.14,-0.009180550833049968
1968,533431909,50.34116238331,0.021925523982664022,703.9852,18.88111790583402,0.06918192953426577,29.07,-0.002402196293754299
1969,545314670,51.46256511713,0.022276059604825777,780.43604,20.931554937805792,0.10859722619168712,29.61,0.018575851393188826
1970,557501301,52.61264474253,0.02234788768840567,763.7408,20.483783031654646,-0.021392195060597165,29.47,-0.004728132387706875
1971,569999178,53.79209734911,0.022417664277343093,794.3863,21.305705564661356,0.04012552426163427,29.15,-0.010858500169664075
1972,582837973,55.00372314988,0.022524234236702707,835.8586,22.418006485371226,0.052206716052379074,29.31,0.005488850771869645
1973,596107483,56.25599648859,0.02276706497296119,853.3237,22.886426293539326,0.02089480206341121,29.44,0.004435346298191831
1974,609721951,57.54082428533,0.022838948324357806,903.9876,24.24524899246735,0.05937242807155129,29.26,-0.0061141304347825986
1975,623524219,58.84337518811999,0.022636987199432485,972.0112,26.06966463640317,0.07524837730075057,28.89,-0.012645249487354784
1976,637451448,60.157718939990005,0.022336307998326525,1019.4541,27.342099040840502,0.04880900549294083,29.27,0.01315334025614396
1977,651685628,61.501030344280004,0.02232982612975412,1078.32,28.92090211586684,0.05774257026383031,29.41,0.004783054321831246
1978,666267760,62.877178757079996,0.022376022077933565,1120.9728,30.06486444037872,0.039554863120409595,29.23,-0.0061203672220333126
1979,681248383,64.29093365686,0.02248438825855839,1182.959,31.72735500230333,0.05529679221476208,29.63,0.013684570646595914
1980,696828385,65.7612532935,0.022869781989632996,1218.599,32.68323169142111,0.030127840440792853,29.58,-0.0016874789065136925
1981,712869298,67.27507013213,0.023019890327802876,1349.2845,36.18826039668775,0.10724241526539909,29.32,-0.008789722785665924
1982,729169466,68.813353445,0.022865577246391666,1336.0491,35.83328255350174,-0.009809198875403984,29.12,-0.006821282401091381
1983,745826546,70.38531934161,0.022843907728851608,1405.0502,37.68391507352097,0.0516456318858341,29.11,-0.0003434065934066471
1984,762895156,71.99612224479,0.022885495416517396,1500.9186,40.255137542180336,0.06823129878206492,29.28,0.0058399175541051776
1985,780242084,73.63319064015,0.022738285678668015,1584.2627,42.490454106868945,0.0555287275405875,29.61,0.01127049180327863
1986,797878993,75.29762519108,0.022604406198627962,1695.5906,45.47630552264999,0.07027111097168418,29.33,-0.00945626477541375
1987,815716125,76.98095523436001,0.022355685707343847,1802.8536,48.353134964424434,0.06325996381437826,29.72,0.013296965564268686
1988,833729681,78.68093480513,0.022083118682985455,1962.3015,52.629580832516034,0.08844195668466931,29.55,-0.005720053835800746
1989,852012673,80.40634165387,0.021929160514077943,2143.4136,57.487067771549974,0.09229575577453303,29.18,-0.012521150592216616
1990,870452165,82.14651775764999,0.02164227432800169,2300.7012,61.7055736729889,0.07338182420788975,29.14,-0.0013708019191226576
1991,888941756,83.89142181612,0.021241363676773668,2427.663,65.11073150206957,0.05518395869920007,29.32,0.006177076183939592
1992,907574049,85.64979298152,0.020960083013582726,2552.7722,68.46620198114294,0.051534829999056654,29.23,-0.0030695770804911276
1993,926351297,87.42184387448,0.020689494174816362,2616.248,70.16864411198198,0.024865438443743695,29.55,0.01094765651727678
1994,945261958,89.20648525066,0.020414135610585755,2757.1213,73.94691301178828,0.0538455452235414,29.46,-0.0030456852791878124
1995,964279129,91.00117821378,0.020118413566792455,2963.118,79.47181322405513,0.07471441318160364,30.18,0.02443991853360485
1996,983281218,92.79444785481999,0.01970600465002909,3081.6313,82.65037946480776,0.039996145951663106,29.58,-0.019880715705765453
1997,1002335230,94.59261758550001,0.019377988363040208,3252.01,87.21999303529579,0.055288476593549726,29.05,-0.017917511832319055
1998,1021434576,96.39506558717001,0.019054848546029856,3449.4966,92.51664952668548,0.06072755003828393,29.7,0.022375215146299435
1999,1040500054,98.19431738992,0.018665393210656304,3549.4888,95.19847368699985,0.028987476027661583,29.81,0.0037037037037036848
2000,1059633675,100,0.01838887074195193,3728.5144,100,0.050437009408228005,29.75,-0.002012747400201232
2001,1078970907,101.82489783556,0.018248978355656732,3743.8525,100.41137295862394,0.004113729586239479,29.99,0.00806722689075625
2002,1098313039,103.65025809509001,0.017926462960692228,3865.7512,103.68073675670932,0.03255969619529621,30.23,0.008002667555852017
2003,1117415123,105.45296448793,0.017392203608355777,4004.0781,107.3907103590642,0.035782670131487,29.75,-0.015878266622560384
2004,1136264583,107.23183018886,0.016868806956356182,4347.582,116.60359954624289,0.08578851146784577,29.79,0.0013445378151260218
2005,1154638713,108.96583793451,0.016170643945874003,4603.6104,123.47036664254264,0.058889838075509376,29.6,-0.006377979187646785
2006,1172373788,110.63953663043,0.015359847890359104,4849.72,130.07110821403828,0.05346012772931452,30.06,0.015540540540540448
2007,1189691809,112.27387700754,0.014771757247783162,5263.1113,141.15840078289625,0.08524024067368824,29.84,-0.007318695941450395
2008,1206734806,113.88226275461999,0.014325556308844016,5570.697,149.40795186415266,0.05844180038525892,29.64,-0.006702412868632684
2009,1223640160,115.47765882393,0.0140091707937361,6003.236,161.00879213447584,0.07764540056657179,30.3,0.0222672064777328
2010,1240613620,117.07948220879001,0.013871283858483364,6269.459,168.14898180358375,0.044346582409886925,30.13,-0.005610561056105667
